"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
11,"Maine","Priv. Construction",85,16917.9866666667,2207.33083333333,2420.31,0.130472436547279,0.143061354756355,"ME",1983
11,"Maine","Priv. Construction",93,20170.4858333333,2207.77416666667,2207.77416666667,0.109455674886703,0.109455674886703,"ME",1984
11,"Maine","Priv. Construction",95,23411.7258333333,2490.9525,2787.8625,0.106397643685341,0.119079753756523,"ME",1985
11,"Maine","Priv. Construction",89,22873.1575,1917.46166666667,1917.46166666667,0.083830215036869,0.083830215036869,"ME",1986
11,"Maine","Priv. Construction",114,28033.1741666667,3377.0625,3377.0625,0.120466649532318,0.120466649532318,"ME",1987
11,"Maine","Priv. Construction",117,30535.29,2734.355,2976.21083333333,0.089547373354435,0.0974679067730904,"ME",1988
11,"Maine","Priv. Construction",119,30998.3308333333,1531.7,1531.7,0.0494123362004757,0.0494123362004757,"ME",1989
11,"Maine","Priv. Construction",109,29471.6766666667,1959.82,1959.82,0.0664984211325645,0.0664984211325645,"ME",1990
11,"Maine","Priv. Construction",78,22490.8991666667,2024.90166666667,2279.25333333333,0.0900320485234261,0.101341135799885,"ME",1991
11,"Maine","Priv. Construction",62,19440.2816666667,262.046666666667,904.126666666667,0.0134795717895031,0.0465078987181187,"ME",1992
11,"Maine","Priv. Construction",59,17021.6091666667,734.7975,734.7975,0.0431685112416744,0.0431685112416744,"ME",1993
11,"Maine","Priv. Construction",55,16919.5993583333,707.294983333333,707.294983333333,0.0418032929301262,0.0418032929301262,"ME",1994
11,"Maine","Priv. Construction",57,17311.5695333333,543.747475,543.747475,0.0314094834029675,0.0314094834029675,"ME",1995
11,"Maine","Priv. Construction",86,27921.7845083333,818.046058333333,818.046058333333,0.0292977709323168,0.0292977709323168,"ME",1996
11,"Maine","Priv. Construction",82,26906.4173916667,1885.899875,1885.899875,0.0700910836458206,0.0700910836458206,"ME",1997
11,"Maine","Priv. Construction",74,23274.096725,1022.17813333333,1293.75541666667,0.0439191311597824,0.0555877834558487,"ME",1998
11,"Maine","Priv. Construction",81,26588.3285666667,2936.52960833333,3278.276925,0.110444307327271,0.123297594487667,"ME",1999
11,"Maine","Priv. Construction",97,32630.0824083334,3711.74871666667,4452.37296666667,0.113752357661724,0.136449947953224,"ME",2000
11,"Maine","Priv. Construction",150,36287.23905,2666.97775,2666.97775,0.0734962970018387,0.0734962970018387,"ME",2001
11,"Maine","Priv. Construction",174,34179.8359583333,1626.33076666667,1626.33076666667,0.0475815832614899,0.0475815832614899,"ME",2002
11,"Maine","Priv. Construction",152,28681.5093166667,2619.259425,2619.259425,0.0913222283124924,0.0913222283124924,"ME",2003
11,"Maine","Priv. Construction",155,28509.7998583334,878.322916666667,1032.69466666667,0.0308077540248632,0.0362224467098713,"ME",2004
11,"Maine","Priv. Construction",164,27619.1988166667,1700.950025,1887.73848333333,0.0615857839584351,0.0683487802743912,"ME",2005
11,"Maine","Priv. Construction",172,29992.3813666667,1941.69684166667,2115.640475,0.0647396668791771,0.070539265871048,"ME",2006
11,"Maine","Priv. Construction",169,31187.501925,1315.85496666667,1315.85496666667,0.0421917401254177,0.0421917401254177,"ME",2007
11,"Maine","Priv. Construction",143,25941.8192666667,698.133208333333,1209.50661666667,0.0269114971160889,0.0466238148510456,"ME",2008
11,"Maine","Priv. Construction",140,24023.3300333333,1022.826075,1690.51219166667,0.042576365172863,0.0703696012496948,"ME",2009
11,"Maine","Priv. Construction",130,21652.8395083333,1268.01293333333,1268.01293333333,0.0585610456764698,0.0585610456764698,"ME",2010
11,"Maine","Priv. Construction",140,25645.9735416667,1551.81845,1736.12458333333,0.0605092421174049,0.0676957964897156,"ME",2011
11,"Maine","Priv. Construction",133,25016.0549166666,343.6477,343.6477,0.0137370862066746,0.0137370862066746,"ME",2012
11,"Maine","Priv. Construction",109,22569.4926416667,699.1414,1134.92433333333,0.0309772752225399,0.0502857714891434,"ME",2013
11,"Maine","Priv. Construction",100,24255.934575,1253.39049166667,1253.39049166667,0.05167356133461,0.05167356133461,"ME",2014
11,"Maine","Priv. Construction",56,18801.0956083333,1068.50335,1068.50335,0.0568319708108902,0.0568319708108902,"ME",2015
11,"Maine","Priv. Construction",55,22260.3101,1036.66085,1423.08451666667,0.0465699210762978,0.0639292299747467,"ME",2016
11,"Maine","Priv. Construction",66,28457.4917166667,0,0,0,0,"ME",2017
11,"Maine","Priv. Construction",49,22338.3602083333,1763.898375,1763.898375,0.0789627507328987,0.0789627507328987,"ME",2018
11,"Maine","Priv. Construction",55,28270.7720666667,1028.82391666667,1028.82391666667,0.0363917872309685,0.0363917872309685,"ME",2019
11,"Maine","Priv. Construction",59,30004.5337333333,3140.37085,3140.37085,0.104663208127022,0.104663208127022,"ME",2020
11,"Maine","Priv. Construction",48,27835.7614166667,2541.0358,2541.0358,0.0912867337465286,0.0912867337465286,"ME",2021
11,"Maine","Priv. Construction",40,25318.8424,0,0,0,0,"ME",2022
11,"Maine","Priv. Manufacturing",670,121360.09,30076.9766666667,30814.0558333333,0.247832521796227,0.253906011581421,"ME",1983
11,"Maine","Priv. Manufacturing",635,124521.56,32233.2558333333,34377.4216666667,0.25885683298111,0.276076048612595,"ME",1984
11,"Maine","Priv. Manufacturing",485,112041.0525,29738.3616666667,32010.62,0.265423804521561,0.285704374313354,"ME",1985
11,"Maine","Priv. Manufacturing",440,112671.213333333,30997.7791666667,33198.3825,0.275117129087448,0.294648319482803,"ME",1986
11,"Maine","Priv. Manufacturing",442,109480.286666667,30974.8716666667,33639.7908333333,0.282926470041275,0.307268023490906,"ME",1987
11,"Maine","Priv. Manufacturing",464,116862.436666667,26990.4991666667,29695.5725,0.230959579348564,0.254107087850571,"ME",1988
11,"Maine","Priv. Manufacturing",411,105142.629166667,20689.3766666667,21952.7008333333,0.196774393320084,0.208789721131325,"ME",1989
11,"Maine","Priv. Manufacturing",383,102040.560833333,25091.035,27514.7333333333,0.245892763137817,0.269645065069199,"ME",1990
11,"Maine","Priv. Manufacturing",351,98660.3100000001,25205.8083333333,28068.435,0.255480736494064,0.284495711326599,"ME",1991
11,"Maine","Priv. Manufacturing",365,102752.4675,23914.4108333333,25097.9708333333,0.232738062739372,0.244256630539894,"ME",1992
11,"Maine","Priv. Manufacturing",344,100146.7975,20133.6875,21559.235,0.201041758060455,0.215276330709457,"ME",1993
11,"Maine","Priv. Manufacturing",310,92608.6988916667,18494.3432166667,19066.124275,0.199704170227051,0.205878332257271,"ME",1994
11,"Maine","Priv. Manufacturing",291,91303.8131,20022.5307916667,21571.7853833333,0.219295665621758,0.236263796687126,"ME",1995
11,"Maine","Priv. Manufacturing",322,103679.523058333,24465.2938833333,25614.00455,0.235970348119736,0.247049793601036,"ME",1996
11,"Maine","Priv. Manufacturing",325,102081.400525,24993.6103916667,25621.185,0.244839996099472,0.25098779797554,"ME",1997
11,"Maine","Priv. Manufacturing",319,98909.809275,23954.4464,24197.5583916667,0.242184743285179,0.244642660021782,"ME",1998
11,"Maine","Priv. Manufacturing",314,100783.503183333,27637.6932083333,27637.6932083333,0.27422833442688,0.27422833442688,"ME",1999
11,"Maine","Priv. Manufacturing",264,83867.241425,18975.2847,20450.9392666667,0.226253837347031,0.243848949670792,"ME",2000
11,"Maine","Priv. Manufacturing",325,74914.1277583334,18392.34655,19104.0800166667,0.245512396097183,0.255013048648834,"ME",2001
11,"Maine","Priv. Manufacturing",370,68978.248225,18380.1710833333,18734.9074416667,0.266463279724121,0.271606028079987,"ME",2002
11,"Maine","Priv. Manufacturing",384,70152.1636833333,16981.5394666667,17394.3497083333,0.242067217826843,0.247951716184616,"ME",2003
11,"Maine","Priv. Manufacturing",375,68196.2792416667,15045.0615916667,15446.6588333333,0.220614105463028,0.226502954959869,"ME",2004
11,"Maine","Priv. Manufacturing",382,64587.3976833333,11872.5971333333,12539.1145,0.183822199702263,0.194141820073128,"ME",2005
11,"Maine","Priv. Manufacturing",377,64814.6492083333,11048.5486166667,11048.5486166667,0.170463755726814,0.170463755726814,"ME",2006
11,"Maine","Priv. Manufacturing",386,67264.1185666667,11033.7484333333,11214.38875,0.16403616964817,0.166721701622009,"ME",2007
11,"Maine","Priv. Manufacturing",344,61276.043825,11883.2997416667,12224.2688,0.193930596113205,0.199495077133179,"ME",2008
11,"Maine","Priv. Manufacturing",316,53597.4660833333,9518.3811,9858.87754166667,0.177590131759644,0.183942973613739,"ME",2009
11,"Maine","Priv. Manufacturing",310,52329.4535583333,8940.86945,9266.31059166667,0.170857310295105,0.177076384425163,"ME",2010
11,"Maine","Priv. Manufacturing",295,54577.9062916667,8742.660375,9119.9208,0.160186797380447,0.167099133133888,"ME",2011
11,"Maine","Priv. Manufacturing",297,56960.1985583333,9917.42983333334,10108.333025,0.174111574888229,0.177463099360466,"ME",2012
11,"Maine","Priv. Manufacturing",301,58781.4552333333,10130.75965,10738.6424083333,0.172346189618111,0.182687595486641,"ME",2013
11,"Maine","Priv. Manufacturing",239,54783.3014083333,6868.682975,7587.64495,0.125379130244255,0.138502880930901,"ME",2014
11,"Maine","Priv. Manufacturing",143,50669.511925,5949.86829166667,5949.86829166667,0.117425017058849,0.117425017058849,"ME",2015
11,"Maine","Priv. Manufacturing",137,54752.1866833333,5634.67040833333,6385.26325,0.102912247180939,0.116621151566505,"ME",2016
11,"Maine","Priv. Manufacturing",129,50939.0119916666,7999.29715,8485.02761666666,0.157036751508713,0.166572287678719,"ME",2017
11,"Maine","Priv. Manufacturing",126,55396.464525,8944.05264166667,8944.05264166667,0.161455303430557,0.161455303430557,"ME",2018
11,"Maine","Priv. Manufacturing",113,56201.8378166667,8858.37116666667,9440.911925,0.15761710703373,0.167982265353203,"ME",2019
11,"Maine","Priv. Manufacturing",92,47227.2065666667,7664.00788333333,7664.00788333333,0.16227950155735,0.16227950155735,"ME",2020
11,"Maine","Priv. Manufacturing",90,47878.67465,6236.69270833333,6774.84123333333,0.130260348320007,0.141500189900398,"ME",2021
11,"Maine","Priv. Manufacturing",82,43699.8089166667,3152.79863333333,3152.79863333333,0.0721467360854149,0.0721467360854149,"ME",2022
11,"Maine","Private",1804,339058.970833333,48179.065,53136.6166666666,0.142096415162086,0.156717926263809,"ME",1983
11,"Maine","Private",1781,358568.181666667,47129.1383333334,53693.2666666667,0.131437033414841,0.149743527173996,"ME",1984
11,"Maine","Private",1608,375878.728333333,42216.7558333333,48417.3858333333,0.112314827740192,0.128811195492744,"ME",1985
11,"Maine","Private",1495,379738.965833333,41925.7758333333,45805.8733333333,0.110406830906868,0.120624631643295,"ME",1986
11,"Maine","Private",1584,391045.427499999,48717.8258333334,52473.3775,0.124583542346954,0.134187415242195,"ME",1987
11,"Maine","Private",1641,416571.780833333,41310.9708333333,46855.7308333333,0.0991689115762711,0.112479366362095,"ME",1988
11,"Maine","Private",1641,419903.005833333,35715.0216666667,39583.0166666667,0.085055410861969,0.0942670479416847,"ME",1989
11,"Maine","Private",1551,414407.366666667,39840.3591666666,48421.0883333333,0.0961381569504738,0.116844177246094,"ME",1990
11,"Maine","Private",1425,399424.769166667,41830.9683333333,47726.215,0.104728028178215,0.1194873675704,"ME",1991
11,"Maine","Private",1497,427036.9975,36691.8016666667,43526.745,0.0859218314290047,0.10192734003067,"ME",1992
11,"Maine","Private",1429,415522.186666666,31814.9183333333,34498.9225,0.0765661150217056,0.0830254629254341,"ME",1993
11,"Maine","Private",1294,386953.834441667,33424.41745,36703.934975,0.0863783061504364,0.0948535278439522,"ME",1994
11,"Maine","Private",1345,420579.917441668,35350.0372166667,38224.4834083333,0.0840507000684738,0.0908851847052574,"ME",1995
11,"Maine","Private",1421,454547.464133333,41385.3532666667,44143.6330166667,0.0910473763942718,0.0971155613660812,"ME",1996
11,"Maine","Private",1425,454148.198566667,37529.607075,39598.373325,0.0826373547315598,0.0871926248073578,"ME",1997
11,"Maine","Private",1437,451182.912591667,34254.4697416667,35795.2563833333,0.075921468436718,0.0793364644050598,"ME",1998
11,"Maine","Private",1446,457191.928016667,41791.54365,43653.9764333333,0.0914091914892197,0.0954828262329102,"ME",1999
11,"Maine","Private",1451,469039.7615,37361.8509916667,42967.311225,0.0796560421586037,0.091606967151165,"ME",2000
11,"Maine","Private",2003,473875.436791666,32308.0402166667,34908.5410333333,0.0681783407926559,0.0736660733819008,"ME",2001
11,"Maine","Private",2500,469727.080583334,33619.2019166667,35765.3131416667,0.0715717747807503,0.0761406272649765,"ME",2002
11,"Maine","Private",2589,479660.253208332,32277.1265083333,34326.11405,0.0672916397452354,0.0715633928775787,"ME",2003
11,"Maine","Private",2596,473332.008433335,27691.2165083333,30954.40565,0.058502733707428,0.0653968155384064,"ME",2004
11,"Maine","Private",2876,483827.731100002,27063.1415583333,29463.867425,0.0559354908764362,0.0608974359929562,"ME",2005
11,"Maine","Private",2827,490441.074899998,26056.12035,28910.396125,0.053127933293581,0.0589477457106113,"ME",2006
